PROFILE_ID,PROFILE_NAME,GENERATED_DESCRIPTION
1004,Total_Data_Rev_LMTD,"Total_Data_Rev_LMTD measures the total data revenue for a telecom subscriber over a limited period, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, used in CVM rule engines to assess customer value."
1005,Payg_Rev_Data_Lst_30D,"Payg_Rev_Data_Lst_30D measures the total PAYG revenue from the last 30 days, likely derived from call detail records. As a numeric KPI in a CVM rule engine, it assesses customer value and informs targeted marketing campaigns, capturing recent revenue trends."
1006,Data_PayG_Revenue_M1,"Data_PayG_Revenue_M1 measures monthly revenue from pay-as-you-go data services, likely derived from CDRs. It's a numeric KPI used in CVM rule engines to assess subscriber value. Its monthly aggregation helps telecom companies analyze revenue trends and tailor customer retention strategies."
1007,Data_Rev_WK8,"Data_Rev_WK8 measures weekly data revenue, likely derived from telecom call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value. It is used in CVM rule engines to assess subscriber data usage and revenue performance on a weekly basis."
1008,Data_Rev_WK7,"Data_Rev_WK7 measures weekly revenue data, likely derived from call detail records, as a numeric value. It's used in CVM rule engines to assess customer value, with its Double data type indicating precise revenue tracking, enabling targeted telecom campaigns."
1009,Data_Rev_WK6,"Data_Rev_WK6 measures weekly data revenue, likely derived from telecom call detail records, stored as a Double value. It's used in CVM rule engines to assess subscriber revenue performance on a weekly basis, enabling targeted marketing and customer value management strategies."
1010,Data_Rev_WK5,"Data_Rev_WK5 measures weekly data revenue, likely derived from telecom CDRs, categorized under GROUP_ID 105, stored as a java.lang.Double value. It's used in CVM rule engines to assess subscriber revenue, with its weekly temporal context enabling targeted marketing campaigns."
1011,Data_Rev_WK4,"Data_Rev_WK4 measures weekly revenue data, likely derived from call detail records, stored as a Double value. It's used in CVM rule engines to assess customer value, with its weekly data type indicating a periodic measurement, enabling telecom companies to track revenue trends."
1012,Data_Rev_WK3,"Data_Rev_WK3 measures weekly revenue data, likely derived from call detail records, as a numeric value. It's used in CVM rule engines to assess customer value, with its weekly temporal classification enabling periodic analysis and targeted marketing campaigns."
1013,Data_Rev_WK2,"Data_Rev_WK2 measures weekly revenue data, likely derived from call detail records or billing data, used in CVM rule engines to assess customer value. It's a numeric (java.lang.Double) KPI, grouped under ID 105, possibly tracking weekly revenue trends or patterns."
1014,Data_Rev_WK1,"Data_Rev_WK1 measures weekly data revenue, likely derived from telecom call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating its numeric nature, used in CVM rule engine to assess customer value."
1015,Data_Rev_90D,"Data_Rev_90D measures the total data revenue over the last 90 days, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric metric used in CVM rule engines to assess customer value and usage patterns."
1016,Data_Rev_60D,"Data_Rev_60D measures the total data revenue over 60 days, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric, cumulative metric used in CVM rule engines to assess customer value based on data usage revenue."
1017,Data_Rev_30D,"Data_Rev_30D measures the total data revenue generated from a customer over the last 30 days, likely derived from call detail records and recharge data, used in CVM rule engines to assess customer value with a numeric value of type java.lang.Double."
1018,Data_Rev_180D,"Data_Rev_180D measures the total data revenue over 180 days, likely derived from cumulative CDRs, indicating a customer's long-term data usage value, categorized under GROUP_ID 105, stored as a java.lang.Double, aiding CVM rule engines in assessing subscriber data consumption patterns."
1019,Data_Roam_Rev_MTD,"Data_Roam_Rev_MTD measures the total revenue generated from data roaming services for a telecom operator on a month-to-date basis. It's a numeric KPI, likely derived from call detail records, used in CVM rule engines to assess customer value and tailor marketing campaigns."
1020,Data_Roam_Rev_LMTD,"Data_Roam_Rev_LMTD measures the limited data roaming revenue, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, used in CVM rule engines to assess subscriber roaming revenue performance."
1021,Hbb_Wfbb_Traffic_Gbs_LMTD,"Hbb_Wfbb_Traffic_Gbs_LMTD measures the total traffic in GB for Home Broadband and Wholesale Fixed Broadband services on a limited basis, likely derived from call detail records, used in CVM rule engines to assess customer value with a numeric value."
1022,Hbb_Wfbb_Traffic_Gbs_90D,"Hbb_Wfbb_Traffic_Gbs_90D measures the total broadband traffic in GB over 90 days, likely derived from CDRs, indicating customer usage patterns. It's a numeric KPI used in CVM rule engines to assess customer value, with values stored as java.lang.Double."
1023,Hbb_Wfbb_Traffic_Gbs_7D,"Hbb_Wfbb_Traffic_Gbs_7D measures the total broadband traffic in GB over 7 days, likely derived from aggregated call detail records. As a java.lang.Double value, it quantifies subscriber usage, aiding CVM rule engines in assessing customer value and tailoring telecom campaigns."
1024,Hbb_Wfbb_Traffic_Gbs_30D,"This KPI measures the total GigaBytes of Hbb and Wfbb traffic over 30 days, likely derived from aggregated call detail records. It's used in CVM rule engines to assess subscriber usage patterns, with values stored as doubles, enabling nuanced customer segmentation and targeting."
1025,Hbb_Wfbb_Traffic_Gbs_2nd_Last_Month,"This KPI measures the total HBB/WFBB traffic in GB for the second last month, likely derived from call detail records, and is used in CVM rule engines to assess subscriber usage patterns, with values stored as java.lang.Double."
1026,Data_Usg_MTD,"Data_Usg_MTD measures monthly data usage, likely derived from call detail records, stored as a Double value. It's used in CVM rule engines to assess subscriber behavior, with its value representing cumulative monthly data usage, enabling targeted telecom campaigns."
1027,Data_Usg_LMTD,"Data_Usg_LMTD measures a subscriber's limited data usage, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, and is used within a CVM rule engine to assess customer behavior and tailor telecom services."
1028,Data_Gbs_Roaming_90D,"Data_Gbs_Roaming_90D measures the total data usage in GB over the last 90 days for roaming subscribers, likely derived from CDRs, and is used in CVM rule engines to assess customer value, with values stored as java.lang.Double."
1029,Data_Gbs_Roaming_60D,"Data_Gbs_Roaming_60D measures roaming data usage in GB over 60 days, likely derived from CDRs, stored as a Double value. It's used in CVM rule engines to assess customer data usage patterns, enabling targeted campaigns based on 60-day cumulative data consumption."
1030,Data_Gbs_Roaming_30D,"Measures roaming data usage in GB over 30 days, likely derived from CDRs, used in CVM rule engines to assess customer value, with values stored as java.lang.Double, indicating a numeric, potentially cumulative metric."
1031,Data_Gbs_Local_90D,"Data_Gbs_Local_90D measures local data usage in GB over 90 days, likely derived from CDRs, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric, cumulative metric used in CVM rule engines to assess subscriber data consumption patterns."
1032,Data_Gbs_Local_60D,"Data_Gbs_Local_60D measures local data usage in GB over 60 days, likely derived from CDRs, stored as a Double value. It's used in CVM rule engines to assess customer data consumption patterns, enabling targeted telecom campaigns based on 60-day usage trends."
1033,Data_Gbs_Local_30D,"The KPI 'Data_Gbs_Local_30D' measures local data usage in GB over 30 days, likely derived from call detail records. It's a numeric value used in CVM rule engines to assess customer data consumption patterns, aiding in targeted telecom campaigns and customer segmentation strategies."
1034,Data_Gbs_90D,"Data_Gbs_90D measures the total data usage in GB over 90 days, likely derived from CDRs, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a customer's data consumption pattern, relevant for CVM rule engine to assess customer value and tailor campaigns."
1035,Data_Gbs_60D,"Data_Gbs_60D measures the total data usage in GB over 60 days, likely derived from CDRs, categorized under GROUP_ID 105, stored as a java.lang.Double value, used in CVM rule engines to assess subscriber data consumption patterns."
1036,Data_Gbs_30D,"Data_Gbs_30D measures the total data usage in GB over 30 days, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric metric for customer value management, possibly used to assess customer data consumption patterns."
1037,Days_Since_Last_Activity_Data,"Days_Since_Last_Activity_Data measures the number of days since a customer's last activity, likely derived from call detail records. It's a numeric (java.lang.Double) KPI used in CVM rule engines to assess customer engagement and value."
1038,Data_User_90D,"Data_User_90D measures the categorization of a subscriber as a data user within the last 90 days, likely derived from call detail records, used in CVM rule engines to assess customer value, with a categorical data type and a 90-day temporal classification."
1039,Data_User_60D,"Data_User_60D measures the categorization of a subscriber as a data user within the last 60 days, likely derived from usage patterns. It's used in CVM rule engines to identify valuable customers. The KPI is a categorical string variable without specific temporal aggregation."
1040,Data_User_30D,"The Data_User_30D KPI measures the number of users who have used data services within the last 30 days, likely derived from CDRs. It's a categorical metric used in CVM rule engines to assess customer engagement, with values stored as strings, enabling targeted marketing campaigns based on recent data usage behavior."
1041,Data_Usg_Roam_LMTD,"Data_Usg_Roam_LMTD measures roaming data usage, likely derived from CDRs, stored as a Double value. It's used in CVM rule engines to assess subscriber behavior, possibly on a cumulative basis, given its numeric type and association with GROUP_ID 105, indicating a usage-related KPI."
1042,Data_Usg_Roam_MTD,"Data_Usg_Roam_MTD measures monthly roaming data usage, likely derived from call detail records, as a java.lang.Double value. It's used in CVM rule engines to assess subscriber behavior, with its GROUP_ID 105 indicating a usage-related KPI, enabling targeted telecom campaigns."
1043,Favourite_Hour_Data_Usage_M1,"Favourite_Hour_Data_Usage_M1 measures the data usage during the most preferred hour, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric metric for customer value management."
1044,Favourite_Hour_Data_Usage_M2,"Favourite_Hour_Data_Usage_M2 measures the data usage during the most preferred hour, likely derived from call detail records. It's a numeric value used in CVM rule engines to analyze subscriber behavior, categorized under GROUP_ID 105, with values stored as java.lang.Double."
1045,Favourite_Hour_Data_Usage_MTD,"Favourite_Hour_Data_Usage_MTD measures the average data usage during the subscriber's favourite hour of the month-to-date, categorized under group 105, stored as a java.lang.Double value, likely derived from call detail records to inform CVM campaigns on usage patterns."
1046,Payg_Data_Revenue_M1,"Payg_Data_Revenue_M1 measures monthly revenue from pay-as-you-go data services, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess subscriber value, with values stored as java.lang.Double, enabling revenue-based customer segmentation and targeting."
1047,Payg_Data_Revenue_M2,"Payg_Data_Revenue_M2 measures monthly revenue from pay-as-you-go data services, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess subscriber value, with values stored as java.lang.Double, enabling revenue-based customer segmentation and targeting."
1048,Payg_Data_Revenue_M3,"Payg_Data_Revenue_M3 measures the average revenue generated from PAYG data services over three months, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess customer value, with a monthly temporal classification."
1049,Revenue_90D,"Revenue_90D measures the total revenue generated by a subscriber over the last 90 days, likely derived from call detail records or billing data. It's a numeric KPI used in CVM rule engines to assess customer value, with a cumulative temporal classification."
1050,Revenue_60D,"Revenue_60D measures the total revenue generated by a customer over 60 days, likely derived from call detail records and stored as a java.lang.Double value. It's used in CVM rule engines to assess customer value, with its temporal relevance spanning 60 days."
1051,Revenue_30D,"Revenue_30D measures the total revenue generated from a customer over the last 30 days, likely derived from call detail records and recharge data. It's a numeric KPI used in CVM rule engines to assess customer value, with a rolling monthly temporal classification."
1052,Revenue_7D,"Revenue_7D measures the total revenue generated over 7 days, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric, time-based metric used in CVM rule engines to assess customer value."
1053,Revenue_180D,"Revenue_180D measures the total revenue generated by a subscriber over the last 180 days, likely derived from call detail records and recharge data, used in CVM rule engines to assess customer value, with values stored as java.lang.Double, indicating a cumulative numeric metric."
1054,Days_Since_Last_Activity,"Days Since Last Activity measures the number of days since a customer's last telecom activity, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess customer engagement, with integer values indicating the duration since the last activity."
1055,Onetime_Revenue_M1,"Onetime_Revenue_M1 measures a customer's one-time revenue in the last month, likely derived from transactional data, used in CVM rule engines to assess revenue performance, categorized under GROUP_ID 105, stored as a java.lang.Double value."
1056,Usage_Revenue_M1,"Usage_Revenue_M1 measures monthly revenue generated from subscriber usage, likely derived from call detail records. As a numeric KPI in a CVM rule engine, it informs customer value management decisions with a monthly temporal classification."
1057,Discount_M1,"Discount_M1 is a numeric KPI measuring a subscriber's discount-related metric, likely derived from call detail records, categorized under group 105, and stored as a Double value, used in CVM rule engines to assess customer value."
1058,Total_Revenue_MTD,"Total Revenue MTD measures the cumulative revenue generated from subscribers within the current month. It's a numeric KPI, likely derived from call detail records and recharge data, used in CVM rule engines to assess customer value and tailor marketing strategies."
1059,Total_Revenue_LMTD,"Total Revenue LMTD measures a telecom subscriber's total revenue, likely derived from call detail records, categorized under group 105, stored as a java.lang.Double value, used in CVM rule engines to assess customer value."
1060,Revenue_M1,"Revenue_M1 is a monthly revenue metric, likely derived from call detail records, used in CVM rule engines to measure subscriber transaction performance. It's a numeric value stored in the Revenue_M1 column, grouped under ID 105, indicating its relevance to revenue-related KPIs."
1061,Allocated_rental_Revenue_M1,"Allocated_rental_Revenue_M1 measures monthly allocated rental revenue, likely derived from customer subscription plans. It's a numeric KPI used in CVM rule engines to assess customer value. Its monthly aggregation helps telecom companies analyze revenue patterns and tailor targeted marketing campaigns."
1062,Onetime_Revenue_M2,"Onetime_Revenue_M2 measures one-time revenue for a telecom customer, likely derived from transactional data. It's a numeric KPI used in CVM rule engines to assess customer value. Its monthly aggregation enables analysis of revenue trends and customer segmentation."
1063,Usage_Revenue_M2,"Usage_Revenue_M2 measures monthly revenue generated from subscriber usage, likely derived from call detail records. As a numeric KPI in a CVM rule engine, it informs customer value management campaigns, with values stored as doubles, enabling revenue-based customer segmentation and targeting."
1064,Discount_M2,"Discount_M2 is a numeric KPI measuring a specific aspect of customer value, likely related to discounts or promotions, stored as a Double value, used in CVM rule engines to assess customer behavior or transaction performance."
1065,Allocated_rental_Revenue_M2,"Allocated_rental_Revenue_M2 measures monthly allocated rental revenue, likely derived from customer subscription plans. It's a numeric KPI used in CVM rule engines to assess customer value. Its monthly aggregation helps telecom companies evaluate revenue streams and tailor targeted marketing campaigns."
1066,Onetime_Revenue_M3,"Onetime_Revenue_M3 measures the one-time revenue generated over three months, likely derived from transactional data. It's a numeric KPI used in CVM rule engines to assess customer value, with values stored as java.lang.Double, enabling revenue-based customer segmentation and targeting."
1067,Usage_Revenue_M3,"Usage_Revenue_M3 measures the total revenue generated from subscriber usage over three months. It's a numeric KPI, likely derived from call detail records and usage patterns, used in CVM rule engines to assess customer value. Its monthly aggregation helps in understanding revenue trends."
1068,Discount_M3,"Discount_M3 is a numeric KPI measuring a subscriber's discount-related metric, likely derived from call detail records, stored as a Double value. It's used in CVM rule engines to assess customer value, with its temporal characteristics unknown."
1069,Allocated_rental_Revenue_M3,"Allocated_rental_Revenue_M3 measures the allocated rental revenue over a 3-month period, likely derived from customer usage data. It's a numeric KPI used in CVM rule engines to assess customer value, with values stored as java.lang.Double, enabling revenue-based customer segmentation and targeting."
1070,Tot_Rev_WK1,"Tot_Rev_WK1 measures total revenue in the first week, likely derived from call detail records, used in CVM rule engines to assess customer value, categorized under GROUP_ID 105, stored as a java.lang.Double, indicating a numeric weekly metric for telecom customer value management."
1071,Tot_Rev_WK2,"Tot_Rev_WK2 measures the total revenue for a telecom subscriber in week 2, likely derived from call detail records or billing data, used in CVM rule engines to assess customer value, categorized under group 105, stored as a java.lang.Double value."
1072,Tot_Rev_WK3,"Tot_Rev_WK3 measures the total revenue for a customer over a specific week, likely derived from call detail records or billing data. As a numeric KPI in a CVM rule engine, it assesses customer value, categorized under group 105, with values stored as java.lang.Double."
1073,Tot_Rev_WK4,"Tot_Rev_WK4 measures the total revenue for a customer over a 4-week period, likely derived from call detail records or billing data. As a numeric KPI in a CVM rule engine, it assesses customer value and informs targeted marketing campaigns."
1074,Tot_Rev_WK5,"Tot_Rev_WK5 measures total revenue in week 5, likely derived from call detail records or billing data, used in CVM rule engines to assess customer value, with values stored as java.lang.Double, indicating a numeric, possibly cumulative metric."
1075,Tot_Rev_WK6,"Total revenue in week 6, a numeric KPI measuring subscriber revenue, likely derived from call detail records, used in CVM rule engines to assess customer value, with values stored as java.lang.Double."
1076,Tot_Rev_WK7,"Tot_Rev_WK7 measures the total revenue for a specific week, likely derived from call detail records or billing data. As a numeric KPI in a CVM rule engine, it's used to assess customer value, with its double data type indicating precise revenue calculations."
1077,Tot_Rev_WK8,"Total Revenue in Week 8, a numeric KPI measuring subscriber revenue, likely derived from call detail records, used in CVM rule engines to assess customer value, with values stored as java.lang.Double, indicating a weekly aggregation."
1078,Vas_Rev_90D,"Vas_Rev_90D measures the total VAS revenue over 90 days, likely derived from CDRs, categorized under GROUP_ID 105, stored as a java.lang.Double value, indicating a numeric, cumulative metric used in CVM rule engines to assess customer value and revenue trends."
1079,360_Msisdn,"The 360_Msisdn KPI measures a unique subscriber identifier, likely derived from telecom call detail records, used in CVM rule engines to track customer behavior and engagement, categorized under group 105, stored as a java.lang.String, enabling analysis and targeting of specific customers."
1080,360_Cust_Sub_Id,"The 360_Cust_Sub_Id is a unique customer identifier used in telecom CVM rule engines, likely derived from subscriber data. It's a string variable, potentially used for customer segmentation or personalization, with no specific temporal classification."
1081,360_Id_Sbsc,"The 360_Id_Sbsc KPI measures a subscriber's identifier score or value, likely derived from usage or transaction data, categorized under group 105, stored as an integer, and is used within a CVM rule engine to assess customer value or behavior."
1082,360_Line_Type,"The 360_Line_Type KPI measures the type of telecom line, likely derived from call detail records, categorized as a string variable, used in CVM rule engines to segment customers based on line characteristics, enabling targeted marketing and customer value management strategies."
1083,360_Voice_Rev_WK1,"The '360_Voice_Rev_WK1' KPI measures weekly voice revenue, likely derived from call detail records. It's a numeric (java.lang.Double) metric used in CVM rule engines to assess subscriber revenue generation. Its weekly temporal classification enables analysis of short-term revenue trends."
1084,360_Voice_Rev_WK2,"The '360_Voice_Rev_WK2' KPI measures weekly voice revenue, likely derived from call detail records, stored as a double value. It's used in CVM rule engines to assess subscriber revenue generation, with its weekly temporal classification enabling targeted marketing campaigns."
1085,360_Voice_Rev_WK3,"The '360_Voice_Rev_WK3' KPI measures weekly voice revenue for a telecom customer, likely derived from call detail records. It's a numeric (java.lang.Double) metric used in CVM rule engines to assess customer value, with a weekly temporal classification."
1086,360_Voice_Rev_WK4,"The '360_Voice_Rev_WK4' KPI measures the revenue generated from voice services over a four-week period, likely derived from call detail records. It's a numeric value used in CVM rule engines to assess customer value and tailor marketing strategies."
